fresh;fet1;fet2;fet3;fet4;fet5;fet6;fet7;fet8;fet9;fet10;s1;s2;s3;s4;s5;s6;s7;cd1;cd2;cy1;cy2;cy3;dis1;dis2;dis3;dis4;life1;life2;life3;life4;fwl1;fwl2;fwl3;fwl4;fwl5;fwl6;fwl7;fwl8;wnb1;wnb2;wnb3;wnb4;wnb5;egg1;egg2;egg3;egg4;drift1;drift2;drift3;cuv1;cuv2;cuv3;cuv4;cup1;cup2;cup3;cup4;cup5;cup6;cup7;szp1;szp2;szp3;szp4;szp5;szp6;szp7;szp8;szp9;szp10;lsr1;lsr2;lsr3;lsr4;lsr5;lsr6;lsr7;lsr8;res1;res2;res3;res4;res5;ref1;ref2;ref3;ref4;ref5;rep1;rep2;rep3;rep4;rep5;rep6;rep7;rep8;aqs1;aqs2;aqs3;aqs4
Acroloxus_sp;1;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;1;0;0;1;0;0.666666667;0.333333333;0;0;0;0;1;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0.5;0.5;0;0;1;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0.1;0.2;0.2;0.1;0.4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Aeshna_sp;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0.4;0.6;0;0.25;0.75;0.75;0.25;0;0.2;0.2;0;0.6;0;0;0.4;0.6;0;0;0;0;0;0;1;0;0;0;0;0;1;0;0.75;0.25;0;1;0;0;0.75;0.25;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0.1;0;0.9;0;0;0;0;1;0;0;0;0;0.25;0.75;0;0;0;0.666666667;0;0;0.333333333;0;0;0.25;0;0;0;0.375;0.375;0;0.25;0.75;0;0
Agabus_sp_Ad;0;0;0;0;0;0;0;1;0;0;0;0;0.25;0.75;0;0;0;0;1;0;0.75;0.25;0.2;0.2;0;0.6;0;0;0.75;0.25;0;0.75;0.25;0;0;0;0;0;0;0;0;1;0;0.5;0.5;0;0;0.75;0.25;0;0.75;0.25;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.142857143;0;0.428571429;0.428571429;0;0;0;0;0.25;0;0;0.75;0;0;0;0;0;1;0;0;0;0.75;0;0.25;0;0;0.375;0.375;0;0.25
Anacaena_sp_Ad;0;0;0;0;0;0;0;1;0;0;0;1;0;0;0;0;0;0.25;0.75;0;0.75;0.25;0;0.25;0;0.75;0;0;0.75;0.25;1;0;0;0;0;0;0;0;0;0;0;1;0;1;0;0;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.142857143;0;0.428571429;0.428571429;0;0;0;0;0.2;0;0.2;0.6;0;0;0;0;0;1;0;0;0;1;0;0;0;0;0.375;0.375;0;0.25
Anisus_sp;0.5;0;0;0.3;0;0;0;0;0;0.2;0;0;0.6;0.4;0;0;0;1;0;0;1;0;0.666666667;0.333333333;0;0;0;0;0.6;0.4;0;0;0;0;0;0;0;0;1;0;0;0;0;0.25;0.75;0;0;1;0;0;0.75;0.25;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0.1;0.1;0.8;0;0;0.25;0;0.75;0;0;0;0;1;0;0;0;0;0.2;0;0.2;0.6;0;0;0;0;1;0;0;0;0;0.75;0;0;0.25
Aplexa_sp;0.5;0;0;0.2;0.2;0;0;0;0;0.1;0;0;0.142857143;0.428571429;0.428571429;0;0;0.857142857;0.142857143;0;0.857142857;0.142857143;0.666666667;0.333333333;0;0;0;0;0.75;0.25;0;0;0;0;0;0;0;0;1;0;0;0;0;0.5;0.5;0;0;1;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Asellus_sp;0.3;0;0;0.3;0.4;0;0;0;0;0;0;0;0;1;0;0;0;0.75;0.25;0;0.25;0.75;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0.5;0.5;0;0;0.6;0.2;0.2;0;0;0;0;0;0;0;0;0;0;1;0;0;0.1;0.1;0.1;0.2;0.2;0.1;0.2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Baetis_sp;0.5;0;0;0;0.5;0;0;0;0;0;0;0;0.75;0.25;0;0;0;1;0;0;0.4;0.6;0.333333333;0.222222222;0.111111111;0.333333333;1;0;0;0;0;0.75;0.25;0;0;0;0;0;0;0;1;0;0;0;0.2;0.6;0.2;0;0.25;0.75;0;0.285714286;0.428571429;0.285714286;0;0;0;1;0;0;0;0;0.1;0.1;0.2;0.2;0.2;0.1;0;0.1;0;0;0;0.375;0.5;0;0.125;0;0;0.333333333;0.666666667;0;0;0;0.5;0;0;0;0.5;0;0;0.25;0.75;0;0;0;0;0.5;0.5;0;0
Batracobdelloides_sp;0;0;0;0;0;0;0;0;1;0;0;0;0;1;0;0;0;0;1;0;1;0;0.666666667;0.333333333;0;0;0;0;0;1;0;0;0;0;0;0;0;0;1;0;0;0;0;1;0;0;0;1;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0.5;0;0.5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Berosus_sp_Lv;0;0;0;0;0;0;0;1;0;0;0;0.25;0.75;0;0;0;0;0.25;0.75;0;0.75;0.25;0;0.25;0;0.75;0;0;0.75;0.25;0;1;0;0;0;0;0;0;0;0;0;1;0;1;0;0;0;1;0;0;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0.142857143;0;0.428571429;0.428571429;0;0;0;0;0.3;0.3;0.1;0.3;0;0;0;1;0;0;0;0;0;0;0;1;0;0;0.375;0.375;0;0.25
